Rank; English; Russian; Turkish
1;be;быть;olmak
2;have;иметь;sahip olmak
3;do;делать;yapmak
4;say;сказать;söylemek
5;go;идти;gitmek
6;get (receive);получать;almak
7;make;делать (создавать);yapmak
8;know;знать;bilmek
9;think;думать;düşünmek
10;take;брать;almak
11;see;видеть;görmek
12;come;приходить;gelmek
13;want;хотеть;istemek
14;look;смотреть;bakmak
15;use;использовать;kullanmak
16;find;находить;bulmak
17;give;давать;vermek
18;tell;рассказывать;anlatmak
19;work;работать;çalışmak
20;call (phone);звонить;aramak
21;try;пытаться;denemek
22;ask;спрашивать;sormak
23;need;нуждаться;ihtiyaç duymak
24;feel;чувствовать;hissetmek
25;become;становиться;olmak
26;leave;покидать;ayrılmak
27;put;класть;koymak
28;mean;значить;demek
29;keep;держать;tutmak
30;let (allow);позволять;izin vermek
31;begin;начинать;başlamak
32;seem;казаться;görünmek
33;help;помогать;yardım etmek
34;show;показывать;göstermek
35;hear;слышать;duymak
36;play;играть;oynamak
37;run;бегать;koşmak
38;move;двигаться;hareket etmek
39;like;нравиться;sevmek
40;live;жить;yaşamak
41;believe;верить;inanmak
42;hold;держать;tutmak
43;bring;приносить;getirmek
44;write;писать;yazmak
45;provide;предоставлять;sağlamak
46;sit;сидеть;oturmak
47;stand;стоять;ayakta durmak
48;lose;терять;kaybetmek
49;pay;платить;ödemek
50;meet;встречать;buluşmak
51;include;включать;içermek
52;continue;продолжать;devam etmek
53;set (put, place);ставить;koymak
54;learn;учить(ся);öğrenmek
55;change;менять;değiştirmek
56;lead;вести;öncülük etmek
57;understand;понимать;anlamak
58;watch;смотреть;izlemek
59;follow;следовать;takip etmek
60;stop;останавливать;durmak
61;create;создавать;yaratmak
62;speak;говорить;konuşmak
63;read;читать;okumak
64;allow;разрешать;izin vermek
65;add;добавлять;eklemek
66;spend;тратить;harcamak
67;grow;расти;büyümek
68;open;открывать;açmak
69;walk;ходить;yürümek
70;win;выигрывать;kazanmak
71;offer;предлагать;teklif etmek
72;remember;помнить;hatırlamak
73;love;любить;sevmek
74;consider;рассматривать;düşünmek
75;appear;появляться;görünmek
76;buy;покупать;satın almak
77;wait;ждать;beklemek
78;serve;обслуживать;hizmet etmek
79;die;умирать;ölmek
80;send;отправлять;göndermek
81;expect;ожидать;beklemek
82;build;строить;inşa etmek
83;stay;оставаться;kalmak
84;fall;падать;düşmek
85;cut;резать;kesmek
87;kill;убивать;öldürmek
88;remain;оставаться;kalmak
90;raise (lift);поднимать;kaldırmak
92;sell;продавать;satmak
93;require;требовать;gerektirmek
94;report;сообщать;bildirmek
95;decide;решать;karar vermek
96;pull;тянуть;çekmek
97;return;возвращаться;dönmek
98;explain;объяснять;açıklamak
99;hope;надеяться;ummak
100;develop;развивать;geliştirmek
101;carry;нести;taşımak
102;break;ломать;kırmak
103;receive;получать;almak
104;agree;соглашаться;anlaşmak
105;support;поддерживать;desteklemek
106;hit;ударять;vurmak
107;produce;производить;üretmek
108;eat;есть;yemek
109;cover;покрывать;örtmek
110;catch;ловить;yakalamak
111;draw;рисовать;çizmek
112;choose;выбирать;seçmek
113;touch;трогать;dokunmak
114;teach;учить (кого-то);öğretmek
115;reach (arrive);добираться;ulaşmak
116;serve (food);подавать;servis yapmak
117;represent;представлять;temsil etmek
118;fill;наполнять;doldurmak
119;visit;посещать;ziyaret etmek
120;claim;утверждать;iddia etmek
121;act;действовать;hareket etmek
122;miss;скучать;özlemek
123;enjoy;наслаждаться;zevk almak
124;avoid;избегать;kaçınmak
125;imagine;представлять;hayal etmek
126;describe;описывать;tanımlamak
127;suggest (recommend);советовать;önermek
128;prefer;предпочитать;tercih etmek
129;protect;защищать;korumak
130;discover;обнаруживать;keşfetmek
131;express;выражать;ifade etmek
132;refuse;отказывать;reddetmek
133;prepare;готовить;hazırlamak
134;manage;управлять;yönetmek
135;join;присоединяться;katılmak
137;listen;слушать;dinlemek
138;worry;волноваться;endişelenmek
139;recognize;узнавать;tanımak
140;lay (put down);класть;koymak
141;realize;осознавать;fark etmek
142;accept;принимать;kabul etmek
143;mention;упоминать;bahsetmek
144;attend;посещать;katılmak
